              A,B,DISTANCE,STREET,ONEWAY,TAZID,LINKID,LANES,FT,SFF,SFF_TIME,CAP1HR1LN,Length,geometry
5238,5208,0.640700,Redwood R,2,1395,5238_5208,1,2,38.560440,0.996930,929.510400,0.000000,"LINESTRING (-111.938753 40.552997 ,-111.938693 40.562285)",
5240,1296,0.205610,Cent,2,1296,5240_1296,7,1,21.176470,0.582560,10000.000000,0.000000,"LINESTRING (-111.911929 40.614669 ,-111.915638 40.613722)",
5240,5009,0.296910,Holden St,2,1296,5240_5009,2,3,36.363640,0.489900,814.416000,0.000000,"LINESTRING (-111.911929 40.614669 ,-111.913172 40.610470)",
5240,5010,0.171460,Holden St,2,1296,5240_5010,2,3,36.363640,0.282910,814.416000,0.000000,"LINESTRING (-111.911929 40.614669 ,-111.910268 40.616808)",
5356,5216,0.192600,South Jor,2,1408,5356_5216,2,3,27.940460,0.413590,773.695200,0.000000,"LINESTRING (-111.899113 40.558973 ,-111.902774 40.558997)",
5436,5018,0.506870,Redwood R,2,1285,5436_5018,3,2,43.516480,0.698870,854.485660,0.000000,"LINESTRING (-111.938742 40.624085 ,-111.938855 40.616737)",
5436,5577,0.187000,7000 Sout,2,1284,5436_5577,2,3,36.363640,0.308550,814.416000,0.000000,"LINESTRING (-111.938742 40.624085 ,-111.942300 40.624038)",
5436,5578,0.437460,Redwood R,2,1286,5436_5578,3,2,39.560440,0.663480,854.485660,0.000000,"LINESTRING (-111.938742 40.624085 ,-111.938760 40.630427)",
5436,11125,0.250900,7000 Sout,2,1289,5436_11125,2,3,36.363640,0.413990,814.416000,0.000000,"LINESTRING (-111.938742 40.624085 ,-111.933970 40.624024)",
5440,4952,0.513420,1300 West,2,1290,5440_4952,1,4,32.255540,0.955040,666.400000,0.000000,"LINESTRING (-111.929189 40.624117 ,-111.929251 40.616674)",
5440,11125,0.251300,7000 Sout,2,1289,5440_11125,2,3,36.363640,0.414640,814.416000,0.000000,"LINESTRING (-111.929189 40.624117 ,-111.933970 40.624024)",
5440,11127,0.238100,7000 Sout,2,1290,5440_11127,2,3,36.363640,0.392870,814.416000,0.000000,"LINESTRING (-111.929189 40.624117 ,-111.924686 40.623746)",
5440,11827,0.183830,1300 West,2,1288,5440_11827,1,4,32.255540,0.341950,666.400000,0.000000,"LINESTRING (-111.929189 40.624117 ,-111.929192 40.626782)",
5441,5861,0.140700,7000 Sout,2,1295,5441_5861,2,3,36.363640,0.232150,814.416000,0.000000,"LINESTRING (-111.917107 40.623244 ,-111.915194 40.621817)",
5441,11126,0.087000,7000 Sout,2,1295,5441_11126,2,3,36.363640,0.143550,814.416000,0.000000,"LINESTRING (-111.917107 40.623244 ,-111.918637 40.623724)",
5524,5022,0.198840,7800 Sout,2,1290,5524_5022,2,3,36.363640,0.328090,814.416000,0.000000,"LINESTRING (-111.925488 40.608731 ,-111.929163 40.609415)",
5524,5863,0.469670,7800 Sout,2,1296,5524_5863,2,3,36.363640,0.774960,814.416000,0.000000,"LINESTRING (-111.925488 40.608731 ,-111.916784 40.610265)",
5577,5436,0.187000,7000 Sout,2,1284,5577_5436,2,3,36.363640,0.308550,814.416000,0.000000,"LINESTRING (-111.942300 40.624038 ,-111.938742 40.624085)",
5578,5436,0.437460,Redwood R,2,1286,5578_5436,3,2,39.560440,0.663480,854.485660,0.000000,"LINESTRING (-111.938760 40.630427 ,-111.938742 40.624085)",
5587,5174,0.296100,South Jor,2,1401,5587_5174,2,3,36.363640,0.488560,814.416000,0.000000,"LINESTRING (-111.919260 40.560309 ,-111.913869 40.559071)",
5587,10857,0.145870,1000 West,2,1356,5587_10857,1,5,26.323210,0.332490,514.500000,0.000000,"LINESTRING (-111.919260 40.560309 ,-111.919656 40.562402)",
5587,11259,0.410500,South Jor,2,1356,5587_11259,2,3,36.363640,0.677330,814.416000,0.000000,"LINESTRING (-111.919260 40.560309 ,-111.926737 40.562009)",
5588,1357,0.495490,Cent,2,1357,5588_1357,7,1,21.176470,1.403890,10000.000000,0.000000,"LINESTRING (-111.917018 40.571988 ,-111.914302 40.565109)",
5588,5215,0.143540,9800 Sout,2,1357,5588_5215,1,4,29.323210,0.293710,666.400000,0.000000,"LINESTRING (-111.917018 40.571988 ,-111.919678 40.572454)",
5588,11184,0.172490,9800 Sout,2,1405,5588_11184,1,4,24.678100,0.419380,633.080000,0.000000,"LINESTRING (-111.917018 40.571988 ,-111.913770 40.572331)",
5589,1322,0.222930,Cent,2,1322,5589_1322,7,1,21.176470,0.631640,10000.000000,0.000000,"LINESTRING (-111.934063 40.587781 ,-111.934349 40.591006)",
5589,1353,0.256390,Cent,2,1353,5589_1353,7,1,21.176470,0.726440,10000.000000,0.000000,"LINESTRING (-111.934063 40.587781 ,-111.934266 40.584068)",
5589,5112,0.245400,9000 Sout,2,1322,5589_5112,2,2,39.560440,0.372190,892.045410,0.000000,"LINESTRING (-111.934063 40.587781 ,-111.938730 40.587762)",
5589,5114,0.256000,9000 Sout,2,1353,5589_5114,2,2,39.560440,0.388270,892.045410,0.000000,"LINESTRING (-111.934063 40.587781 ,-111.929195 40.587794)",
5592,1323,0.269720,Cent,2,1323,5592_1323,7,1,21.176470,0.764210,10000.000000,0.000000,"LINESTRING (-111.922175 40.587742 ,-111.921418 40.591609)",
5592,1354,0.262740,Cent,2,1354,5592_1354,7,1,16.216220,0.972140,10000.000000,0.000000,"LINESTRING (-111.922175 40.587742 ,-111.923428 40.584054)",
5592,5114,0.369200,9000 Sout,2,1354,5592_5114,2,2,32.757050,0.676250,847.443180,0.000000,"LINESTRING (-111.922175 40.587742 ,-111.929195 40.587794)",
5727,5118,0.111900,9000 Sout,2,1325,5727_5118,2,2,32.757050,0.204960,847.443180,0.000000,"LINESTRING (-111.902133 40.588000 ,-111.904260 40.588014)",
5727,5119,0.058000,9000 Sout,2,1325,5727_5119,2,2,32.757050,0.106240,847.443180,0.000000,"LINESTRING (-111.902133 40.588000 ,-111.901030 40.587971)",
5728,1361,0.170510,Cent,2,1361,5728_1361,7,1,16.216220,0.630890,10000.000000,0.000000,"LINESTRING (-111.900794 40.573575 ,-111.902492 40.575680)",
5728,5729,0.266650,300 West,2,1361,5728_5729,1,4,24.678100,0.648310,633.080000,0.000000,"LINESTRING (-111.900794 40.573575 ,-111.900825 40.569709)",
5728,7984,0.487910,500 West,2,1361,5728_7984,1,4,24.678100,1.186260,633.080000,0.000000,"LINESTRING (-111.900794 40.573575 ,-111.900701 40.580648)",
5729,5175,0.185310,9800 Sout,2,1406,5729_5175,1,4,24.678100,0.450550,633.080000,0.000000,"LINESTRING (-111.900825 40.569709 ,-111.904348 40.569696)",
5729,5728,0.266650,300 West,2,1361,5729_5728,1,4,24.678100,0.648310,633.080000,0.000000,"LINESTRING (-111.900825 40.569709 ,-111.900794 40.573575)",
5729,5929,0.195600,9800 Sout,2,1549,5729_5929,2,4,25.678100,0.457040,601.426000,0.000000,"LINESTRING (-111.900825 40.569709 ,-111.897106 40.569721)",
5730,8172,0.178180,700 West,2,1358,5730_8172,1,4,24.678100,0.433210,633.080000,0.000000,"LINESTRING (-111.905499 40.583282 ,-111.905503 40.580699)",
5730,11763,0.112260,700 West,2,1358,5730_11763,1,4,24.678100,0.272940,633.080000,0.000000,"LINESTRING (-111.905499 40.583282 ,-111.905488 40.584909)",
5736,8116,0.324280,Sugar Fact,2,1316,5736_8116,1,5,26.323210,0.739150,514.500000,0.000000,"LINESTRING (-111.938695 40.602343 ,-111.944862 40.602292)",
5736,11146,0.245410,Redwood R,2,1316,5736_11146,3,2,43.516480,0.338370,854.485660,0.000000,"LINESTRING (-111.938695 40.602343 ,-111.938858 40.605898)",
5736,11148,0.227970,Redwood R,2,1320,5736_11148,3,2,43.516480,0.314320,854.485660,0.000000,"LINESTRING (-111.938695 40.602343 ,-111.938793 40.599039)",
5820,1320,0.344520,Cent,2,1320,5820_1320,7,1,21.176470,0.976140,10000.000000,0.000000,"LINESTRING (-111.929267 40.603321 ,-111.934152 40.599993)",
5820,5103,0.574570,1300 West,2,1320,5820_5103,1,4,32.255540,1.068780,666.400000,0.000000,"LINESTRING (-111.929267 40.603321 ,-111.929223 40.594991)",
5820,11147,0.301450,1300 West,2,1320,5820_11147,1,4,32.255540,0.560740,666.400000,0.000000,"LINESTRING (-111.929267 40.603321 ,-111.929235 40.607691)",
5861,5441,0.140700,7000 Sout,2,1295,5861_5441,2,3,36.363640,0.232150,814.416000,0.000000,"LINESTRING (-111.915194 40.621817 ,-111.917107 40.623244)",
5861,10872,0.120500,7000 Sout,2,1294,5861_10872,2,3,36.363640,0.198830,814.416000,0.000000,"LINESTRING (-111.915194 40.621817 ,-111.913107 40.621094)",
5863,5009,0.190370,7800 Sout,2,1296,5863_5009,2,3,36.363640,0.314110,814.416000,0.000000,"LINESTRING (-111.916784 40.610265 ,-111.913172 40.610470)",
5863,5524,0.469670,7800 Sout,2,1296,5863_5524,2,3,36.363640,0.774960,814.416000,0.000000,"LINESTRING (-111.916784 40.610265 ,-111.925488 40.608731)",
5868,5174,0.194300,South Jor,2,1401,5868_5174,2,3,36.363640,0.320590,814.416000,0.000000,"LINESTRING (-111.910187 40.558860 ,-111.913869 40.559071)",
5868,5216,0.390100,South Jor,2,1405,5868_5216,2,3,27.940460,0.837710,773.695200,0.000000,"LINESTRING (-111.910187 40.558860 ,-111.902774 40.558997)",
5868,6253,0.339010,River Fron,2,1401,5868_6253,1,5,26.323210,0.772720,514.500000,0.000000,"LINESTRING (-111.910187 40.558860 ,-111.913648 40.554715)",
5929,5729,0.195600,9800 Sout,2,1549,5929_5729,2,4,25.678100,0.457040,601.426000,0.000000,"LINESTRING (-111.897106 40.569721 ,-111.900825 40.569709)",
6185,1359,0.358560,Cent,2,1359,6185_1359,7,1,21.176470,1.015920,10000.000000,0.000000,"LINESTRING (-111.905514 40.575754 ,-111.911824 40.577722)",
6185,8172,0.341090,700 West,2,1359,6185_8172,1,4,29.323210,0.697920,666.400000,0.000000,"LINESTRING (-111.905514 40.575754 ,-111.905503 40.580699)",
6253,5868,0.339010,River Fron,2,1401,6253_5868,1,5,26.323210,0.772720,514.500000,0.000000,"LINESTRING (-111.913648 40.554715 ,-111.910187 40.558860)",
6255,1356,0.252690,Cent,2,1356,6255_1356,7,1,21.176470,0.715950,10000.000000,0.000000,"LINESTRING (-111.919626 40.565871 ,-111.924114 40.567177)",
6255,1357,0.284940,Cent,2,1357,6255_1357,7,1,21.176470,0.807330,10000.000000,0.000000,"LINESTRING (-111.919626 40.565871 ,-111.914302 40.565109)",
6255,5215,0.454090,1000 West,2,1356,6255_5215,1,5,26.323210,1.035030,514.500000,0.000000,"LINESTRING (-111.919626 40.565871 ,-111.919678 40.572454)",
6255,10857,0.239290,1000 West,2,1356,6255_10857,1,5,26.323210,0.545430,514.500000,0.000000,"LINESTRING (-111.919626 40.565871 ,-111.919656 40.562402)",
6256,1352,0.254010,Cent,2,1352,6256_1352,7,1,21.176470,0.719690,10000.000000,0.000000,"LINESTRING (-111.929139 40.568044 ,-111.933963 40.567876)",
6256,1356,0.271010,Cent,2,1356,6256_1356,7,1,21.176470,0.767860,10000.000000,0.000000,"LINESTRING (-111.929139 40.568044 ,-111.924114 40.567177)",
6256,5214,0.403140,1300 West,2,1352,6256_5214,1,4,29.323210,0.824890,666.400000,0.000000,"LINESTRING (-111.929139 40.568044 ,-111.929207 40.562200)",
6256,5232,0.306920,1300 West,2,1352,6256_5232,1,4,29.323210,0.628010,666.400000,0.000000,"LINESTRING (-111.929139 40.568044 ,-111.929201 40.572493)",
6270,6273,0.187950,500 West,2,1325,6270_6273,1,4,24.678100,0.456960,633.080000,0.000000,"LINESTRING (-111.904847 40.593812 ,-111.905677 40.596462)",
6270,10853,0.100690,500 West,2,1325,6270_10853,1,4,24.678100,0.244810,633.080000,0.000000,"LINESTRING (-111.904847 40.593812 ,-111.904442 40.592385)",
6273,6270,0.187950,500 West,2,1325,6273_6270,1,4,24.678100,0.456960,633.080000,0.000000,"LINESTRING (-111.905677 40.596462 ,-111.904847 40.593812)",
6273,10851,0.046100,500 West,2,1325,6273_10851,1,4,24.678100,0.112080,633.080000,0.000000,"LINESTRING (-111.905677 40.596462 ,-111.906130 40.597034)",
7210,10850,0.037810,500 West,2,1358,7210_10850,1,4,24.678100,0.091930,633.080000,0.000000,"LINESTRING (-111.904821 40.585866 ,-111.904175 40.585624)",
7210,10854,0.065810,500 West,2,1358,7210_10854,1,4,24.678100,0.160000,633.080000,0.000000,"LINESTRING (-111.904821 40.585866 ,-111.904193 40.586691)",
7210,11763,0.074710,700 West,2,1358,7210_11763,1,4,24.678100,0.181640,633.080000,0.000000,"LINESTRING (-111.904821 40.585866 ,-111.905488 40.584909)",
7984,5728,0.487910,500 West,2,1361,7984_5728,1,4,24.678100,1.186260,633.080000,0.000000,"LINESTRING (-111.900701 40.580648 ,-111.900794 40.573575)",
7984,10849,0.249470,500 West,2,1360,7984_10849,1,4,24.678100,0.606540,633.080000,0.000000,"LINESTRING (-111.900701 40.580648 ,-111.900672 40.584264)",
7984,11489,0.102630,9400 Sout,2,1361,7984_11489,1,3,30.044950,0.204950,814.416000,0.000000,"LINESTRING (-111.900701 40.580648 ,-111.902652 40.580647)",
8002,5113,0.242040,8660 S,2,1318,8002_5113,1,5,26.323210,0.551700,514.500000,0.000000,"LINESTRING (-111.943373 40.593977 ,-111.938770 40.594013)",
8116,5736,0.324280,Sugar Fact,2,1316,8116_5736,1,5,26.323210,0.739150,514.500000,0.000000,"LINESTRING (-111.944862 40.602292 ,-111.938695 40.602343)",
8172,5730,0.178180,700 West,2,1358,8172_5730,1,4,24.678100,0.433210,633.080000,0.000000,"LINESTRING (-111.905503 40.580699 ,-111.905499 40.583282)",
8172,6185,0.341090,700 West,2,1359,8172_6185,1,4,29.323210,0.697920,666.400000,0.000000,"LINESTRING (-111.905503 40.580699 ,-111.905514 40.575754)",
8172,11489,0.149950,9400 Sout,2,1359,8172_11489,1,3,35.363640,0.254410,857.280000,0.000000,"LINESTRING (-111.905503 40.580699 ,-111.902652 40.580647)",
10847,5216,0.127380,Jordan Gat,2,1407,10847_5216,2,4,30.323210,0.252040,633.080000,0.000000,"LINESTRING (-111.902749 40.557151 ,-111.902774 40.558997)",
10849,4156,0.094600,500 West,2,1360,10849_4156,1,4,24.678100,0.230000,633.080000,0.000000,"LINESTRING (-111.900672 40.584264 ,-111.900942 40.585620)",
10849,7984,0.249470,500 West,2,1360,10849_7984,1,4,24.678100,0.606540,633.080000,0.000000,"LINESTRING (-111.900672 40.584264 ,-111.900701 40.580648)",
10850,1360,0.165140,Cent,2,1360,10850_1360,7,1,16.216220,0.611020,10000.000000,0.000000,"LINESTRING (-111.904175 40.585624 ,-111.901834 40.584029)",
10850,4156,0.170030,500 West,2,1360,10850_4156,1,4,24.678100,0.413390,633.080000,0.000000,"LINESTRING (-111.904175 40.585624 ,-111.900942 40.585620)",
10850,7210,0.037810,500 West,2,1358,10850_7210,1,4,24.678100,0.091930,633.080000,0.000000,"LINESTRING (-111.904175 40.585624 ,-111.904821 40.585866)",
10851,6273,0.046100,500 West,2,1325,10851_6273,1,4,24.678100,0.112080,633.080000,0.000000,"LINESTRING (-111.906130 40.597034 ,-111.905677 40.596462)",
10851,10852,0.188420,500 West,2,1325,10851_10852,1,4,24.678100,0.458110,633.080000,0.000000,"LINESTRING (-111.906130 40.597034 ,-111.909246 40.598382)",
10852,5106,0.055050,500 West,2,1325,10852_5106,1,4,24.678100,0.133840,633.080000,0.000000,"LINESTRING (-111.909246 40.598382 ,-111.910268 40.598557)",
10852,10851,0.188420,500 West,2,1325,10852_10851,1,4,24.678100,0.458110,633.080000,0.000000,"LINESTRING (-111.909246 40.598382 ,-111.906130 40.597034)",
10853,1325,0.158260,Cent,2,1325,10853_1325,7,1,16.216220,0.585560,10000.000000,0.000000,"LINESTRING (-111.904442 40.592385 ,-111.907451 40.592344)",
10853,6270,0.100690,500 West,2,1325,10853_6270,1,4,24.678100,0.244810,633.080000,0.000000,"LINESTRING (-111.904442 40.592385 ,-111.904847 40.593812)",
10853,11910,0.165980,500 West,2,1325,10853_11910,1,4,24.678100,0.403550,633.080000,0.000000,"LINESTRING (-111.904442 40.592385 ,-111.904258 40.589983)",
10854,5118,0.091350,500 West,2,1358,10854_5118,1,4,24.678100,0.222100,633.080000,0.000000,"LINESTRING (-111.904193 40.586691 ,-111.904260 40.588014)",
10854,7210,0.065810,500 West,2,1358,10854_7210,1,4,24.678100,0.160000,633.080000,0.000000,"LINESTRING (-111.904193 40.586691 ,-111.904821 40.585866)",
10857,5587,0.145870,1000 West,2,1356,10857_5587,1,5,26.323210,0.332490,514.500000,0.000000,"LINESTRING (-111.919656 40.562402 ,-111.919260 40.560309)",
10857,6255,0.239290,1000 West,2,1356,10857_6255,1,5,26.323210,0.545430,514.500000,0.000000,"LINESTRING (-111.919656 40.562402 ,-111.919626 40.565871)",
10872,5030,0.151400,7000 Sout,2,1294,10872_5030,2,3,36.363640,0.249810,814.416000,0.000000,"LINESTRING (-111.913107 40.621094 ,-111.910235 40.620919)",
10872,5861,0.120500,7000 Sout,2,1294,10872_5861,2,3,36.363640,0.198830,814.416000,0.000000,"LINESTRING (-111.913107 40.621094 ,-111.915194 40.621817)",
11123,5017,0.262220,7800 Sout,2,1314,11123_5017,2,3,36.363640,0.432660,814.416000,0.000000,"LINESTRING (-111.943739 40.609520 ,-111.938751 40.609517)",
11124,1289,0.506880,Cent,2,1289,11124_1289,7,1,21.176470,1.436160,10000.000000,0.000000,"LINESTRING (-111.931819 40.609526 ,-111.933868 40.616707)",
11124,1319,0.205360,Cent,2,1319,11124_1319,7,1,21.176470,0.581850,10000.000000,0.000000,"LINESTRING (-111.931819 40.609526 ,-111.934408 40.607297)",
11124,5017,0.364410,7800 Sout,2,1319,11124_5017,2,3,36.363640,0.601280,814.416000,0.000000,"LINESTRING (-111.931819 40.609526 ,-111.938751 40.609517)",
11124,5022,0.139840,7800 Sout,2,1319,11124_5022,2,3,36.363640,0.230740,814.416000,0.000000,"LINESTRING (-111.931819 40.609526 ,-111.929163 40.609415)",
11125,1286,0.465960,Cent,2,1286,11125_1286,7,1,21.176470,1.320220,10000.000000,0.000000,"LINESTRING (-111.933970 40.624024 ,-111.934202 40.630776)",
11125,1289,0.504720,Cent,2,1289,11125_1289,7,1,21.176470,1.430040,10000.000000,0.000000,"LINESTRING (-111.933970 40.624024 ,-111.933868 40.616707)",
11125,5436,0.250900,7000 Sout,2,1289,11125_5436,2,3,36.363640,0.413990,814.416000,0.000000,"LINESTRING (-111.933970 40.624024 ,-111.938742 40.624085)",
11125,5440,0.251300,7000 Sout,2,1289,11125_5440,2,3,36.363640,0.414640,814.416000,0.000000,"LINESTRING (-111.933970 40.624024 ,-111.929189 40.624117)",
11126,5441,0.087000,7000 Sout,2,1295,11126_5441,2,3,36.363640,0.143550,814.416000,0.000000,"LINESTRING (-111.918637 40.623724 ,-111.917107 40.623244)",
11126,11127,0.317900,7000 Sout,2,1288,11126_11127,2,3,36.363640,0.524540,814.416000,0.000000,"LINESTRING (-111.918637 40.623724 ,-111.924686 40.623746)",
11127,5440,0.238100,7000 Sout,2,1290,11127_5440,2,3,36.363640,0.392870,814.416000,0.000000,"LINESTRING (-111.924686 40.623746 ,-111.929189 40.624117)",
11127,11126,0.317900,7000 Sout,2,1288,11127_11126,2,3,36.363640,0.524540,814.416000,0.000000,"LINESTRING (-111.924686 40.623746 ,-111.918637 40.623724)",
11128,5030,0.135700,7200 Sout,2,1298,11128_5030,2,3,29.090910,0.279880,814.416000,0.000000,"LINESTRING (-111.907655 40.620856 ,-111.910235 40.620919)",
11128,5037,0.151900,7200 Sout,2,1298,11128_5037,2,3,29.090910,0.313290,814.416000,0.000000,"LINESTRING (-111.907655 40.620856 ,-111.904767 40.620808)",
11129,1299,0.363670,Cent,2,1299,11129_1299,7,1,21.176470,1.030400,10000.000000,0.000000,"LINESTRING (-111.907639 40.610911 ,-111.908054 40.616174)",
11129,5027,0.141750,Center St,2,1299,11129_5027,2,3,36.363640,0.233890,814.416000,0.000000,"LINESTRING (-111.907639 40.610911 ,-111.910314 40.610655)",
11129,5034,0.253580,Center St,2,1513,11129_5034,2,3,36.363640,0.418410,814.416000,0.000000,"LINESTRING (-111.907639 40.610911 ,-111.902815 40.610924)",
11146,1314,0.275780,Cent,2,1314,11146_1314,7,1,21.176470,0.781380,10000.000000,0.000000,"LINESTRING (-111.938858 40.605898 ,-111.944074 40.606326)",
11146,5017,0.249710,Redwood R,2,1314,11146_5017,3,2,43.516480,0.344300,854.485660,0.000000,"LINESTRING (-111.938858 40.605898 ,-111.938751 40.609517)",
11146,5736,0.245410,Redwood R,2,1316,11146_5736,3,2,43.516480,0.338370,854.485660,0.000000,"LINESTRING (-111.938858 40.605898 ,-111.938695 40.602343)",
11147,5022,0.118960,1300 West,2,1319,11147_5022,1,4,32.255540,0.221280,666.400000,0.000000,"LINESTRING (-111.929235 40.607691 ,-111.929163 40.609415)",
11147,5820,0.301450,1300 West,2,1320,11147_5820,1,4,32.255540,0.560740,666.400000,0.000000,"LINESTRING (-111.929235 40.607691 ,-111.929267 40.603321)",
11148,1316,0.260810,Cent,2,1316,11148_1316,7,1,21.176470,0.738960,10000.000000,0.000000,"LINESTRING (-111.938793 40.599039 ,-111.943565 40.598006)",
11148,1320,0.252710,Cent,2,1320,11148_1320,7,1,21.176470,0.716010,10000.000000,0.000000,"LINESTRING (-111.938793 40.599039 ,-111.934152 40.599993)",
11148,5113,0.346640,Redwood R,2,1316,11148_5113,3,2,43.516480,0.477940,854.485660,0.000000,"LINESTRING (-111.938793 40.599039 ,-111.938770 40.594013)",
11148,5736,0.227970,Redwood R,2,1320,11148_5736,3,2,43.516480,0.314320,854.485660,0.000000,"LINESTRING (-111.938793 40.599039 ,-111.938695 40.602343)",
11150,5027,0.237810,700 West,2,1297,11150_5027,1,4,29.323210,0.486600,666.400000,0.000000,"LINESTRING (-111.910332 40.607207 ,-111.910314 40.610655)",
11150,5109,0.087510,700 West,2,1297,11150_5109,1,4,29.323210,0.179060,666.400000,0.000000,"LINESTRING (-111.910332 40.607207 ,-111.910315 40.605939)",
11151,5109,0.194780,8000 South,2,1324,11151_5109,1,5,26.323210,0.443970,514.500000,0.000000,"LINESTRING (-111.906610 40.605960 ,-111.910315 40.605939)",
11159,5112,0.256300,9000 Sout,2,1318,11159_5112,2,2,39.560440,0.388720,892.045410,0.000000,"LINESTRING (-111.943604 40.587762 ,-111.938730 40.587762)",
11160,1318,0.238350,Cent,2,1318,11160_1318,7,1,21.176470,0.675330,10000.000000,0.000000,"LINESTRING (-111.938878 40.590844 ,-111.943411 40.590891)",
11160,5112,0.212790,Redwood R,2,1318,11160_5112,3,2,43.516480,0.293390,854.485660,0.000000,"LINESTRING (-111.938878 40.590844 ,-111.938730 40.587762)",
11160,5113,0.218660,Redwood R,2,1318,11160_5113,3,2,43.516480,0.301490,854.485660,0.000000,"LINESTRING (-111.938878 40.590844 ,-111.938770 40.594013)",
11161,1322,0.266980,Cent,2,1322,11161_1322,7,1,21.176470,0.756440,10000.000000,0.000000,"LINESTRING (-111.929272 40.591047 ,-111.934349 40.591006)",
11161,5103,0.272100,1300 West,2,1322,11161_5103,1,4,32.255540,0.506150,666.400000,0.000000,"LINESTRING (-111.929272 40.591047 ,-111.929223 40.594991)",
11161,5114,0.224440,1300 West,2,1322,11161_5114,1,4,32.255540,0.417490,666.400000,0.000000,"LINESTRING (-111.929272 40.591047 ,-111.929195 40.587794)",
11172,1346,0.251770,Cent,2,1346,11172_1346,7,1,21.176470,0.713350,10000.000000,0.000000,"LINESTRING (-111.938819 40.584171 ,-111.943605 40.584092)",
11172,1353,0.239520,Cent,2,1353,11172_1353,7,1,21.176470,0.678640,10000.000000,0.000000,"LINESTRING (-111.938819 40.584171 ,-111.934266 40.584068)",
11172,5112,0.247700,Redwood R,2,1346,11172_5112,2,2,39.560440,0.375680,892.045410,0.000000,"LINESTRING (-111.938819 40.584171 ,-111.938730 40.587762)",
11172,5210,0.497400,Redwood R,2,1346,11172_5210,2,2,39.560440,0.754390,892.045410,0.000000,"LINESTRING (-111.938819 40.584171 ,-111.938741 40.576961)",
11173,1353,0.264830,Cent,2,1353,11173_1353,7,1,21.176470,0.750350,10000.000000,0.000000,"LINESTRING (-111.929246 40.584369 ,-111.934266 40.584068)",
11173,1354,0.306730,Cent,2,1354,11173_1354,7,1,16.216220,1.134900,10000.000000,0.000000,"LINESTRING (-111.929246 40.584369 ,-111.923428 40.584054)",
11173,5114,0.236250,1300 West,2,1353,11173_5114,1,4,29.323210,0.483410,666.400000,0.000000,"LINESTRING (-111.929246 40.584369 ,-111.929195 40.587794)",
11173,5219,0.526230,1300 West,2,1353,11173_5219,1,4,29.323210,1.076750,666.400000,0.000000,"LINESTRING (-111.929246 40.584369 ,-111.929172 40.576740)",
11180,5211,0.302850,9800 Sout,2,1351,11180_5211,1,4,29.323210,0.619680,666.400000,0.000000,"LINESTRING (-111.944442 40.573253 ,-111.938687 40.573111)",
11181,1349,0.309110,Cent,2,1349,11181_1349,7,1,21.176470,0.875810,10000.000000,0.000000,"LINESTRING (-111.931031 40.573173 ,-111.934352 40.576870)",
11181,1352,0.396600,Cent,2,1352,11181_1352,7,1,21.176470,1.123700,10000.000000,0.000000,"LINESTRING (-111.931031 40.573173 ,-111.933963 40.567876)",
11181,5211,0.402710,9800 Sout,2,1352,11181_5211,1,4,29.323210,0.824010,666.400000,0.000000,"LINESTRING (-111.931031 40.573173 ,-111.938687 40.573111)",
11181,11182,0.061640,9800 Sout,2,1352,11181_11182,1,4,29.323210,0.126130,666.400000,0.000000,"LINESTRING (-111.931031 40.573173 ,-111.930154 40.572580)",
11182,5232,0.050480,9800 Sout,2,1349,11182_5232,1,4,29.323210,0.103290,666.400000,0.000000,"LINESTRING (-111.930154 40.572580 ,-111.929201 40.572493)",
11182,11181,0.061640,9800 Sout,2,1352,11182_11181,1,4,29.323210,0.126130,666.400000,0.000000,"LINESTRING (-111.930154 40.572580 ,-111.931031 40.573173)",
11183,1355,0.295150,Cent,2,1355,11183_1355,7,1,21.176470,0.836260,10000.000000,0.000000,"LINESTRING (-111.923406 40.572477 ,-111.924746 40.576632)",
11183,1356,0.367410,Cent,2,1356,11183_1356,7,1,21.176470,1.041000,10000.000000,0.000000,"LINESTRING (-111.923406 40.572477 ,-111.924114 40.567177)",
11183,5215,0.196130,9800 Sout,2,1355,11183_5215,1,4,29.323210,0.401310,666.400000,0.000000,"LINESTRING (-111.923406 40.572477 ,-111.919678 40.572454)",
11183,5232,0.304770,9800 Sout,2,1355,11183_5232,1,4,29.323210,0.623610,666.400000,0.000000,"LINESTRING (-111.923406 40.572477 ,-111.929201 40.572493)",
11184,5588,0.172490,9800 Sout,2,1405,11184_5588,1,4,24.678100,0.419380,633.080000,0.000000,"LINESTRING (-111.913770 40.572331 ,-111.917018 40.571988)",
11184,11257,0.334990,9800 Sout,2,1405,11184_11257,1,4,24.678100,0.814460,633.080000,0.000000,"LINESTRING (-111.913770 40.572331 ,-111.908371 40.569754)",
11255,5117,0.123100,9000 Sout,2,1325,11255_5117,2,2,32.757050,0.225480,847.443180,0.000000,"LINESTRING (-111.907886 40.587813 ,-111.910225 40.587717)",
11255,5118,0.191200,9000 Sout,2,1358,11255_5118,2,2,32.757050,0.350210,847.443180,0.000000,"LINESTRING (-111.907886 40.587813 ,-111.904260 40.588014)",
11257,1404,0.138880,Cent,2,1404,11257_1404,7,1,16.216220,0.513860,10000.000000,0.000000,"LINESTRING (-111.908371 40.569754 ,-111.908153 40.571760)",
