link_id,from_node_id,to_node_id,lanes,geometry
140,279,280,2,"LINESTRING(1522153.395805565 1002522.3355395701,1522419.1159847272 1002517.5971294899)"
141,281,282,1,"LINESTRING(1522139.9320969936 1002517.7838111857,1522138.585024693 1002289.3304635092)"
142,283,284,1,"LINESTRING(1522146.8829208307 1002537.8001745566,1522144.3596718581 1002771.690338303)"
143,285,286,1,"LINESTRING(1522163.0668497311 1003002.8990866501,1522163.534140326 1003280.1451150582)"
144,287,288,1,"LINESTRING(1522155.1774433828 1002983.2545726193,1522138.1521062497 1002791.922859384)"
145,289,290,1,"LINESTRING(1522149.6687111596 1002996.7273200876,1521733.898200462 1003010.2120011682)"
146,291,292,1,"LINESTRING(1522169.454798775 1002987.4775271782,1522236.567023958 1002986.2806758023)"
147,292,293,2,"LINESTRING(1522236.567023958 1002986.2806758023,1522426.855978383 1002982.887142116)"
148,294,295,1,"LINESTRING(1522169.8637229868 1003286.155944608,1522256.1986808951 1003281.8387906598)"
149,296,297,1,"LINESTRING(1522156.5341502689 1003280.1569133499,1522156.066859674 1003002.9108849418)"
150,298,299,1,"LINESTRING(1522163.8198681735 1003300.0527994673,1522168.594577109 1003476.7340986602)"
151,300,301,1,"LINESTRING(1522091.3395509135 1000941.8969989659,1521877.9643147879 1000643.17166839)"
152,302,303,1,"LINESTRING(1522106.6776439399 1000956.2255134436,1522120.6883334997 1000995.1835779021)"
153,304,305,1,"LINESTRING(1519002.030090731 1001576.1165978087,1518999.6254577723 1001384.0430306558)"
154,306,307,1,"LINESTRING(1519009.45248198 1001595.9628609641,1519017.199387294 1001854.8998058958)"
155,308,309,1,"LINESTRING(1518959.907407835 1001077.9425814071,1519004.9013288287 1001363.5771909407)"
156,310,311,1,"LINESTRING(1518964.9095790284 1001063.3887819272,1519505.4244233072 1001064.9972899131)"
157,311,312,2,"LINESTRING(1519505.4244233072 1001064.9972899131,1519695.6116675863 1001065.5632645659)"
158,313,314,1,"LINESTRING(1521709.4209862864 1001552.320071718,1521684.4334073374 1001814.3773756501)"
159,315,316,1,"LINESTRING(1521702.8825616918 1001532.2236941269,1521693.0124748365 1001338.1648754738)"
160,317,318,2,"LINESTRING(1521696.8512244532 1001547.2162209798,1521314.6837800613 1001544.6685457143)"
161,319,320,1,"LINESTRING(1521709.9811239662 1001067.5866308348,1521699.8992163064 1001318.1488014844)"
162,321,322,1,"LINESTRING(1521716.9077836783 1001052.245703551,1521932.93041693 1001053.1456183778)"
163,322,323,2,"LINESTRING(1521932.93041693 1001053.1456183778,1522075.4925902975 1001053.7395089883,1522110.4220846575 1001010.2831975078)"
164,324,325,1,"LINESTRING(1521696.9549493426 1001062.8332873917,1521495.6897160967 1001065.4445046749)"
165,325,326,2,"LINESTRING(1521495.6897160967 1001065.4445046749,1521305.4382663057 1001067.9128290139)"
166,327,328,1,"LINESTRING(1521707.4794674446 1002017.2920391373,1521678.1289930632 1001834.428294829)"
167,329,330,1,"LINESTRING(1521716.9787045282 1002036.2219288797,1521742.5079171422 1002296.7062955353)"
168,331,332,2,"LINESTRING(1521722.3272719386 1002021.0092219675,1522132.6928847274 1002006.4283997467)"
169,333,334,2,"LINESTRING(1521702.653930027 1002033.7985352721,1521513.6725965436 1002037.3668126769)"
170,334,335,3,"LINESTRING(1521513.6725965436 1002037.3668126769,1521323.6913658169 1002040.9539697808)"
171,336,337,1,"LINESTRING(1522610.8391418166 1001009.9070967184,1522600.8943369791 1001260.1468715885)"
172,338,339,2,"LINESTRING(1522617.6838007388 1000994.4221753607,1522826.6628846398 1000992.2463936873)"
173,340,341,1,"LINESTRING(1522122.9075636268 1001794.3136202571,1521690.2336232492 1001826.7428006108)"
174,342,343,1,"LINESTRING(1522128.906894811 1001780.1524069875,1522123.651676788 1001532.1929167043)"
175,344,345,1,"LINESTRING(1522136.5772645057 1001799.9032185574,1522145.906227961 1002001.1686686521)"
176,346,347,1,"LINESTRING(1521304.4056712014 1001328.7233543866,1521685.9628343796 1001324.6080527257)"
177,348,349,1,"LINESTRING(1521289.2284230276 1001322.3130033518,1521289.431811718 1001263.1749442111)"
178,349,350,2,"LINESTRING(1521289.431811718 1001263.1749442111,1521290.0866390702 1001072.7748850705)"
179,351,352,2,"LINESTRING(1521300.1832617603 1001342.0584546747,1521309.466829237 1001529.1040432508)"
180,353,354,1,"LINESTRING(1522103.9585642114 1001314.1722826661,1521706.139541444 1001331.0724093653)"
181,355,356,1,"LINESTRING(1522117.91319869 1001320.0152112808,1522129.8133817783 1001511.9235528002)"
182,357,358,1,"LINESTRING(1522110.53104154 1001300.1734322543,1522117.050796104 1001015.6951818432)"
183,359,360,1,"LINESTRING(1522409.3116064437 1001294.7906762733,1522586.58962471 1001268.03173012)"
184,361,362,1,"LINESTRING(1522404.0479701078 1001309.5125127442,1522416.1200602686 1001507.550568812)"
185,363,364,1,"LINESTRING(1522396.5563746176 1001289.7060500216,1522399.6100501455 1001012.524836413)"
186,365,366,1,"LINESTRING(1522832.5501822026 1001307.5805646167,1522606.396508106 1001274.8944494496)"
187,367,368,2,"LINESTRING(1522837.496910822 1001295.6551787939,1522831.6702350471 1001007.4960914243)"
188,369,370,1,"LINESTRING(1522161.5971318264 1003476.9232005326,1522156.822422891 1003300.2419013397)"
189,371,372,2,"LINESTRING(1522155.4906504275 1003492.3058731806,1521354.5342538452 1003510.9162936136)"
190,373,374,1,"LINESTRING(1522168.866 1003496.825,1522168.866 1003620.344)"
191,375,376,1,"LINESTRING(1522645.2905902837 1002999.172187246,1522675.3313212458 1003259.6648685905)"
192,377,378,1,"LINESTRING(1522636.653999853 1002979.83401133,1522626.0234236615 1002775.1680870032)"
193,379,380,1,"LINESTRING(1522650.4491198414 1002983.9916825262,1522661.4679228442 1002983.5488633184)"
194,380,381,2,"LINESTRING(1522661.4679228442 1002983.5488633184,1522851.578250734 1002975.9087861922)"
195,382,383,2,"LINESTRING(1522630.6250214067 1002994.8063088711,1522446.9043405654 1002993.2903336872)"
196,384,385,1,"LINESTRING(1522856.4844289902 1003251.6587453632,1522683.3439067395 1003272.292071849)"
197,386,387,2,"LINESTRING(1522860.5922170298 1003237.0844373157,1522856.6901010058 1002990.8349267718)"
198,388,389,1,"LINESTRING(1518978.2204055174 1003541.748527487,1518977.1766065923 1002980.5834928891)"
199,390,391,1,"LINESTRING(1518985.0664563004 1003561.8007292721,1518982.7595078724 1003695.8856887782)"
200,392,393,1,"LINESTRING(1520494.8264514909 1003042.9062157621,1521132.6839591712 1003011.8047580416)"
201,393,394,2,"LINESTRING(1521132.6839591712 1003011.8047580416,1521322.6481838326 1003002.5422437174)"
202,395,396,1,"LINESTRING(1520475.2363766942 1003052.5199451144,1520060.9029309778 1003068.506349478,1519746.0027006874 1003038.8443726067)"
203,397,398,1,"LINESTRING(1520488.693809017 1003058.60150576,1520493.2048410864 1003509.7545054643)"
204,399,400,1,"LINESTRING(1520481.7459645376 1003038.5851017444,1520482.6128395007 1002981.3958044928)"
205,401,402,1,"LINESTRING(1520613.1654132272 1002564.9409266684,1519328.1116557338 1002622.1031582089)"
206,403,404,1,"LINESTRING(1520633.4658875258 1002562.647785877,1520831.8459989398 1002669.1852531178)"
207,405,406,1,"LINESTRING(1522854.9689088282 1002774.4812293253,1522638.903909159 1002768.7633207904)"
208,407,408,2,"LINESTRING(1522859.6383217191 1002761.3379340837,1522855.5362035218 1002520.6960288626)"
209,409,410,1,"LINESTRING(1522440.630631066 1002776.7089866259,1522618.7506007822 1002762.3167527748)"
210,411,412,1,"LINESTRING(1522427.3778423585 1002771.0267589063,1522425.7753158705 1002532.6913068229)"
211,413,414,1,"LINESTRING(1522434.7334696478 1002790.8973164356,1522440.1565874289 1002977.8607247878)"
212,415,416,1,"LINESTRING(1522132.2901322783 1002283.4888610537,1521750.21686117 1002309.8045940585)"
213,417,418,1,"LINESTRING(1522138.55762298 1002269.298988021,1522139.3414119817 1002021.3088881299)"
214,419,420,1,"LINESTRING(1522145.5849030064 1002289.2891888143,1522146.931975307 1002517.7425364909)"
215,421,422,1,"LINESTRING(1521321.8891309341 1002316.1980150759,1521729.898350252 1002303.8052116854)"
216,423,424,1,"LINESTRING(1521306.8046853768 1002309.9714803703,1521307.21563968 1002234.7160330268)"
217,424,425,2,"LINESTRING(1521307.21563968 1002234.7160330268,1521308.2564711762 1002044.1151821745)"
218,426,427,1,"LINESTRING(1521317.670337732 1002329.7677924837,1521318.3105879272 1002344.8159424636)"
219,427,428,2,"LINESTRING(1521318.3105879272 1002344.8159424636,1521326.4081714558 1002535.1378702212)"
220,429,430,1,"LINESTRING(1522130.700549635 1002785.0013798767,1521707.9462927475 1002778.6498302127)"
221,431,432,1,"LINESTRING(1522137.3600791693 1002771.6148254435,1522139.8833281419 1002537.724661697)"
222,433,434,1,"LINESTRING(1522145.1245566173 1002791.3024273807,1522162.1498937504 1002982.634140616)"
223,435,436,1,"LINESTRING(1521339.1214489776 1002794.4254185216,1521687.7971572273 1002772.1448293657)"
224,437,438,1,"LINESTRING(1521322.0613005944 1002788.7756127382,1521320.7391255554 1002745.7281640341)"
225,438,439,3,"LINESTRING(1521320.7391255554 1002745.7281640341,1521314.8982983425 1002555.5621856856)"
226,440,441,2,"LINESTRING(1521334.7831903922 1002808.465879559,1521337.9723111195 1002997.2117338228)"
227,442,443,1,"LINESTRING(1521716.105546425 1002523.0505133284,1521735.5763873872 1002316.6271310083)"
228,444,445,1,"LINESTRING(1521721.2868636511 1002543.5966871327,1521702.3387177186 1002765.3343117906)"
229,446,447,2,"LINESTRING(1521728.5812894367 1002527.954307507,1522133.423009385 1002522.644595466)"
230,448,449,1,"LINESTRING(1521719.2067663516 1002997.485829078,1521695.6260738363 1002785.3254285417)"
231,450,451,1,"LINESTRING(1521733.614560935 1003001.4665995983,1521959.0303909963 1002994.1556900925)"
232,451,452,2,"LINESTRING(1521959.0303909963 1002994.1556900925,1522149.3850716322 1002987.9819185177)"
233,453,454,1,"LINESTRING(1521713.7935076186 1003012.2946757618,1521533.35601821 1003012.4151526759)"
234,454,455,2,"LINESTRING(1521533.35601821 1003012.4151526759,1521342.8955031605 1003012.5423218977)"
235,456,457,1,"LINESTRING(1518984.1765944827 1002980.570472513,1518985.2203934079 1003541.735507111)"
236,458,459,1,"LINESTRING(1518975.5318490495 1002960.5129512904,1518977.6689039727 1002787.4137610802)"
237,459,460,2,"LINESTRING(1518977.6689039727 1002787.4137610802,1518980.0159510628 1002597.305427267)"
238,461,462,1,"LINESTRING(1518991.0644629693 1002966.1874637522,1519537.4193343574 1003012.3449893389)"
239,462,463,2,"LINESTRING(1519537.4193343574 1003012.3449893389,1519726.852456405 1003028.3488078015)"
240,464,465,1,"LINESTRING(1518732.1981766582 1002093.0640230898,1519004.0598228467 1001868.666453076)"
241,466,467,2,"LINESTRING(1518736.7661247302 1002096.9795060047,1518984.904129606 1002099.467021555)"
242,468,469,1,"LINESTRING(1519692.661585758 999691.3705469839,1520421.4395647093 999709.194545649)"
243,470,471,1,"LINESTRING(1519686.2218588244 999704.5738481537,1519697.3564232418 1000481.9508993925)"
244,472,473,1,"LINESTRING(1521282.3076520253 999788.307562803,1521283.2983423695 1000571.1625788175)"
245,474,475,1,"LINESTRING(1521268.5554235743 999781.0324916145,1520441.0521781235 999717.1967724777)"
246,476,477,1,"LINESTRING(1521289.0730973314 999775.7408688791,1521417.255820524 999787.5087672321,1521563.6478128731 999795.5302462648,1521687.337843887 999835.7546465942,1521889.974190068 999938.0759699137,1522105.0448951635 1000126.7532086083)"
247,478,479,1,"LINESTRING(1521289.7410433362 1000640.8831890491,1521864.933825663 1000629.6951347655)"
248,480,481,1,"LINESTRING(1521276.311 1000634.577,1521276.311 1000591.167)"
249,482,483,1,"LINESTRING(1521285.429169384 1000654.3748912412,1521293.1723940072 1000862.4944560851)"
250,483,484,2,"LINESTRING(1521293.1723940072 1000862.4944560851,1521300.2455707833 1001052.6047194937)"
251,485,486,1,"LINESTRING(1519703.9524487106 1000488.3669895866,1520433.9542262512 1000478.6336325527)"
252,487,488,1,"LINESTRING(1519688.6073206589 1000482.0762149598,1519680.1955359408 999894.7942922263)"
253,488,489,2,"LINESTRING(1519680.1955359408 999894.7942922263,1519677.4727562414 999704.6991637211)"
254,490,491,1,"LINESTRING(1519699.4492373152 1000501.8928414867,1519706.8324900947 1000870.4461519999)"
